Date,GARCH_VaR_95,GJR_GARCH_VaR_95,GARCH_VaR_99,GJR_GARCH_VaR_99
2025-01-21,9867.320007709659,9203.46695603188,13955.538989180372,13016.638949601536
2025-01-22,10642.553069039179,9031.855449286837,15051.965901921896,12773.925520676441
2025-01-23,10056.794464798422,8669.987111152304,14223.516329662896,12262.128224364922
2025-01-24,9507.028825719079,8327.252003841471,13445.972294900786,11777.391421534961
2025-01-27,8998.002169126716,8005.470981580446,12726.046180509396,11322.29038106669
2025-01-28,8667.110567882903,7892.7403999232165,12258.059874324705,11162.853368143098
2025-01-29,8391.690106335222,7622.0451233164895,11868.52745959167,10780.003872644776
2025-01-30,8184.668472565033,7637.4430556438565,11575.73281226835,10801.781462180681
2025-01-31,7962.255191015155,7383.674475433699,11261.169463764836,10442.871716415393
2025-02-03,8126.069453088397,7863.276508827093,11492.855100752458,11121.182024693846
2025-02-04,8033.505920390795,7970.51789018163,11361.940730028862,11272.855556876593
2025-02-05,8148.07168050604,7742.130344455477,11523.973270867124,10949.84269253914
2025-02-06,8683.866845167984,7595.272215592162,12281.75859705618,10742.13843833144
2025-02-07,8279.742683801303,7322.448524921646,11710.198083561534,10356.278686205265
2025-02-10,8748.146326844557,8292.88437937475,12372.670294664124,11728.784634399639
2025-02-11,8295.911006137154,7972.640330141936,11733.06525038812,11275.85736421588
2025-02-12,7953.344741702919,7768.632870163274,11248.567245260636,10987.325720406681
2025-02-13,7986.104449319407,8022.596340648622,11294.899924910107,11346.511103207346
2025-02-14,9373.486638719845,7980.4326896126495,13257.101031385253,11286.87824692023
2025-02-17,8967.91424333929,7693.3503420482475,12683.49225288752,10880.852204245004
2025-02-18,8493.626758643233,7406.062383796918,12012.698412251508,10474.5353624515
2025-02-19,8168.18242534307,7288.553707719496,11552.416281072055,10308.340599407013
2025-02-20,7753.599361606402,7025.605106496697,10966.063542363843,9936.44737473729
2025-02-21,7436.010850866259,6863.226481159004,10516.892050947039,9706.792186181621
2025-02-24,7360.058825325848,7000.348508428026,10409.471651800335,9900.726486106334
2025-02-25,7110.109468803651,6884.644087693411,10055.963506980808,9737.083515824555
2025-02-26,6853.008746806912,6657.986241189619,9692.341049498074,9416.516998105875
2025-02-27,6699.219864848386,6457.304640922402,9474.8344989253,9132.68918115537
2025-02-28,8741.855986043776,9229.03226096847,12363.773745628323,13052.796448246978
2025-03-03,9640.04140899146,9041.42860243024,13634.094529758779,12787.46501385572
2025-03-04,9940.238298632172,9764.38127553901,14058.668719562931,13809.95077584769
2025-03-05,10472.530215999739,10729.440366542363,14811.499336249592,15174.852264888012
2025-03-06,10281.996060901887,10328.33991444993,14542.023244650145,14607.568241122666
2025-03-07,10433.85838058403,10787.758572816836,14756.805021430022,15257.332816933204
2025-03-10,9881.772734991548,10334.00460149343,13975.979757182706,14615.579916109928
2025-03-11,10568.142065309765,11378.996770388108,14946.724999330463,16093.532282608969
2025-03-12,10679.086083417396,11703.010590429118,15103.635241332107,16551.791211586904
2025-03-13,10132.734888492867,11203.957922978958,14330.920320097446,15845.97150037722
2025-03-14,9936.785620288972,11126.380661634446,14053.78553069321,15736.252499217711
2025-03-17,10259.891150105574,10760.465062475472,14510.759847473477,15218.731084403715
2025-03-18,10112.185942396105,10360.331518249808,14301.857553488491,14652.814576886256
2025-03-19,9900.088276906039,10335.828126441063,14001.883777635672,14618.158962242469
2025-03-20,10063.326161424444,9997.273099572467,14232.75423284823,14139.334126952226
2025-03-21,9583.942167528186,9663.000421268276,13554.752301991519,13666.565898958504
2025-03-24,9211.367803781828,9435.895352688845,13027.813269349537,13345.36686652372
2025-03-25,9126.339460339861,9107.107038302554,12907.556060587416,12880.355279079538
2025-03-26,8641.146226987501,8740.287266516883,12221.338011507743,12361.555075664894
2025-03-27,9401.111812716137,9893.857580177422,13296.171842151189,13993.071584349345
2025-03-28,9087.00623791076,9701.770596218901,12851.92633349328,13721.399297258959
2025-03-31,9047.465337219619,9816.912009157957,12796.002883069925,13884.24599487136
2025-04-01,9202.264861615133,9494.243417332891,13014.938804527854,13427.889647830802
2025-04-02,8906.805601640064,9133.340240505311,12597.065134770028,12917.45739757429
2025-04-03,8511.175885214929,8775.875379097371,12037.51847685932,12411.888022430614
2025-04-04,14050.748435447471,15655.259331055553,19872.241648679086,22141.532027903413
2025-04-07,18382.26614826291,20924.512136108264,25998.38981011407,29593.936825488337
2025-04-08,18330.411516053442,21129.576661432893,25925.05081421616,29883.963496988767
2025-04-09,19041.82061162147,22171.211046597822,26931.21027420125,31357.166885880804
2025-04-10,34336.71293000377,23693.49715764141,48563.068359043464,33510.16518316494
2025-04-11,36252.83798532276,29549.988792453416,51273.080591012855,41793.11306420751
2025-04-14,35051.957711997704,28329.644617098787,49574.652703538755,40067.15700865502
2025-04-15,33193.60769204282,27048.21589484157,46946.35280663045,38254.80791271574
2025-04-16,31174.511539823714,25785.211960859724,44090.706587273846,36468.51734644241
2025-04-17,29827.02529661669,25421.591749511816,42184.931078851405,35954.24234241346
2025-04-21,28015.79464141268,24235.264507446413,39623.27299870921,34276.39708477158
2025-04-22,27930.487318493826,25469.491153549992,39502.621223949034,36021.98738362942
2025-04-23,27631.46124133395,24487.875570657092,39079.70293657964,34633.66973215511
2025-04-24,26254.856635466247,23392.006897618943,37132.744772168066,33083.76175494793
2025-04-25,25593.52203623087,22444.90174979899,36197.40662793923,31744.252870374654
2025-04-28,24269.105388212643,21437.67159086553,34324.25888823923,30319.708035192303
